Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
52328,42.071601,-91.666091,Robins,Linn,Cedar Rapids,IA,257600,,,219300,287500,348300
52336,42.070516,-91.432362,Springville,Linn,Cedar Rapids,IA,156400,,129700,157700,203300,
52341,42.102851,-91.726175,Toddville,Linn,Cedar Rapids,IA,248200,,,251300,297700,
52352,42.288221,-91.774837,Walker,Linn,Cedar Rapids,IA,167400,,,162800,188200,
52401,41.975486,-91.659172,Cedar Rapids,Linn,Cedar Rapids,IA,87400,,,,,
52402,42.023172,-91.659613,Cedar Rapids,Linn,Cedar Rapids,IA,137700,,91000,135800,193200,
52403,41.965959,-91.566054,Cedar Rapids,Linn,Cedar Rapids,IA,133200,,113600,157500,232200,364300
52404,41.923056,-91.698866,Cedar Rapids,Linn,Cedar Rapids,IA,116300,,97100,142300,205500,
52405,41.983384,-91.746369,Cedar Rapids,Linn,Cedar Rapids,IA,133600,,90300,132400,175800,
52411,42.053802,-91.729225,Cedar Rapids,Linn,Cedar Rapids,IA,292900,,,265900,313600,392100
52761,41.439931,-91.064259,Muscatine,Muscatine,Muscatine,IA,126200,,,123200,,
52776,41.575263,-91.268626,West Liberty,Muscatine,Muscatine,IA,146500,,,,,
52778,41.609579,-90.990208,Wilton,Muscatine,Muscatine,IA,160500,,,,,
53002,43.463948,-88.352067,Addison,Washington,Milwaukee,WI,241300,,,,,
53004,43.497835,-87.875646,Town of Belgium,Ozaukee,Milwaukee,WI,205600,,,,,
53005,43.062401,-88.098804,Brookfield,Waukesha,Milwaukee,WI,279900,,247400,265500,355000,400800
53006,43.620098,-88.533555,Brownsville,Dodge,Beaver Dam,WI,183300,,,,,
53007,43.108448,-88.072232,Butler,Waukesha,Milwaukee,WI,192700,,167100,194500,,
53010,43.612528,-88.272017,Campbellsport,Fond du Lac,Fond du Lac,WI,186200,,,,,
53012,43.314732,-88.034639,Town of Cedarburg,Ozaukee,Milwaukee,WI,282200,,,265200,371100,
53014,44.026076,-88.176312,Town of Chilton,Calumet,Appleton,WI,132600,,,,,
53015,43.907689,-87.785999,Cleveland,Manitowoc,Manitowoc,WI,153000,,,,,
53017,43.201014,-88.251366,Richfield,Washington,Milwaukee,WI,307700,,,,,
53018,43.048165,-88.390515,Town of Delafield,Waukesha,Milwaukee,WI,362000,,263600,338000,432600,418200
53019,43.697925,-88.321723,Eden,Fond du Lac,Fond du Lac,WI,185400,,,,,
53021,43.494647,-88.009318,Town of Fredonia,Ozaukee,Milwaukee,WI,222300,,,,,
53022,43.232179,-88.1158,Town of Germantown,Washington,Milwaukee,WI,264800,,,274200,353600,
53024,43.33353,-87.928563,Town of Grafton,Ozaukee,Milwaukee,WI,249900,,,239500,345300,
53027,43.317984,-88.372522,Town of Hartford,Washington,Milwaukee,WI,220300,,143200,,176800,
53029,43.146603,-88.340998,Town of Merton,Waukesha,Milwaukee,WI,364100,,298800,349800,472300,
53032,43.449585,-88.624792,Horicon,Dodge,Beaver Dam,WI,126500,,,123700,,
53033,43.234938,-88.253996,Richfield,Washington,Milwaukee,WI,270500,,,,,
53034,43.330168,-88.618784,Hustisford,Dodge,Beaver Dam,WI,166100,,,,,
53035,43.390641,-88.546919,Iron Ridge,Dodge,Beaver Dam,WI,191900,,,,,
53037,43.312433,-88.163146,Town of Jackson,Washington,Milwaukee,WI,232800,,,244800,,
53039,43.369846,-88.713347,Juneau,Dodge,Beaver Dam,WI,170200,,,,,
53040,43.526965,-88.191027,Town of Kewaskum,Washington,Milwaukee,WI,212100,,,191200,,
53042,43.956873,-87.972329,Kiel,Manitowoc,Manitowoc,WI,150200,,,,,
53045,43.058889,-88.15252,Brookfield,Waukesha,Milwaukee,WI,323900,,249800,283400,400300,438500
53048,43.57379,-88.457156,Lomira,Dodge,Beaver Dam,WI,153500,,,,,
53049,43.886116,-88.288605,Malone,Fond du Lac,Fond du Lac,WI,201000,,,,,
53050,43.510549,-88.547354,Mayville,Dodge,Beaver Dam,WI,130500,,,122100,,
53051,43.159363,-88.121527,Menomonee Falls,Waukesha,Milwaukee,WI,245600,,191800,228100,294000,315300
53057,43.794652,-88.23679,Mount Calvary,Fond du Lac,Fond du Lac,WI,166400,,,,,
53058,43.112262,-88.411475,Nashotah,Waukesha,Milwaukee,WI,390800,,,,,
53059,43.288567,-88.525136,Neosho,Dodge,Beaver Dam,WI,216800,,,,,
53061,43.945427,-88.120654,Town of New Holstein,Calumet,Appleton,WI,117000,,,,,
53063,43.957651,-87.790583,Newton,Manitowoc,Manitowoc,WI,159700,,,,,
53065,43.679772,-88.571625,Oakfield,Fond du Lac,Fond du Lac,WI,162400,,,,,
53066,43.112853,-88.490036,Town of Oconomowoc,Waukesha,Milwaukee,WI,298900,,190100,229000,283900,321200
53069,43.11089,-88.435005,Okauchee,Waukesha,Milwaukee,WI,365600,,,,,
53072,43.081609,-88.270816,Town of Pewaukee,Waukesha,Milwaukee,WI,305000,,178500,303500,452700,
53074,43.41985,-87.884515,Town of Port Washington,Ozaukee,Milwaukee,WI,191700,,,183200,,
53076,43.268398,-88.207066,Richfield,Washington,Milwaukee,WI,320300,,,,,
53078,43.317703,-88.466213,Rubicon,Dodge,Beaver Dam,WI,234300,,,,,
53079,43.813683,-88.180169,Saint Cloud,Fond du Lac,Fond du Lac,WI,162200,,,,,
