Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
17013,40.242686,-77.197284,Carlisle,Cumberland,Harrisburg,PA,156000,100200,134300,152200,246500,251400
17055,40.182918,-77.004597,Upper Allen,Cumberland,Harrisburg,PA,193200,79600,131800,184700,266300,296500
17110,40.315813,-76.886436,Susquehanna Township,Dauphin,Harrisburg,PA,144400,90200,123800,147600,221000,86300
17325,39.826258,-77.227606,Cumberland Township,Adams,Gettysburg,PA,212600,147000,161800,204400,292400,312700
17331,39.78969,-76.977984,Hanover,York,York,PA,164500,115400,137100,161300,257200,254400
17601,40.074241,-76.314914,Manheim Township,Lancaster,Lancaster,PA,222600,109100,171500,206300,307200,415800
17602,40.014623,-76.246351,Lancaster,Lancaster,Lancaster,PA,149000,111800,135400,139000,225500,138200
17603,40.030839,-76.330432,Lancaster,Lancaster,Lancaster,PA,148800,72600,128500,145700,210200,172700
18015,40.585869,-75.367239,Bethlehem,Northampton,Allentown,PA,136300,100800,113300,126200,272700,212200
18042,40.654176,-75.223124,Easton,Northampton,Allentown,PA,126800,133300,113600,121500,168300,167200
18103,40.570308,-75.488926,Allentown,Lehigh,Allentown,PA,152700,101100,129000,146700,269600,270900
18301,41.042703,-75.175581,East Stroudsburg,Monroe,East Stroudsburg,PA,144100,84200,108500,137900,191500,179500
18302,41.09655,-75.111107,East Stroudsburg,Monroe,East Stroudsburg,PA,127100,68400,88300,128700,199800,215300
18360,40.967382,-75.287972,Jackson,Monroe,East Stroudsburg,PA,168900,89600,120500,166300,232700,240900
18901,40.306267,-75.147144,Doylestown Township,Bucks,Philadelphia,PA,385300,150400,247700,336700,473400,590900
18938,40.351048,-74.998049,Solebury,Bucks,Philadelphia,PA,554900,185200,341100,427100,644100,1096500
18966,40.188468,-75.009898,Northampton Township,Bucks,Philadelphia,PA,344600,148700,208500,336700,423100,493900
19004,40.009753,-75.231508,Lower Merion Township,Montgomery,Philadelphia,PA,472400,148400,278800,409200,589800,642100
19010,40.023624,-75.329727,Bryn Mawr,Delaware,Philadelphia,PA,533200,106900,223900,360800,735700,1193900
19027,40.073118,-75.124431,Cheltenham,Montgomery,Philadelphia,PA,268500,83900,173600,255000,317000,358700
19067,40.206218,-74.81844,Lower Makefield,Bucks,Philadelphia,PA,355700,131000,244900,326200,486100,553400
19072,40.023891,-75.257741,Lower Merion Township,Montgomery,Philadelphia,PA,489300,133600,218500,373800,665500,749600
19073,39.983259,-75.429241,Newtown Township,Delaware,Philadelphia,PA,414400,146000,227400,368200,571900,913100
19081,39.898048,-75.347159,Swarthmore,Delaware,Philadelphia,PA,267000,80100,135700,229600,417100,539000
19086,39.890631,-75.370032,Nether Providence,Delaware,Philadelphia,PA,328100,87400,121500,297200,415800,490400
19087,40.061872,-75.402461,Radnor,Delaware,Philadelphia,PA,517600,134900,240200,402900,641200,968600
19128,40.048483,-75.227934,Philadelphia,Philadelphia,Philadelphia,PA,234700,168300,189400,231000,281800,298700
19130,39.967935,-75.176073,Philadelphia,Philadelphia,Philadelphia,PA,364700,256000,333100,371200,518500,573800
19147,39.935327,-75.152489,Philadelphia,Philadelphia,Philadelphia,PA,379600,302600,313000,355800,437300,422200
19320,39.963092,-75.83203,Valley Township,Chester,Philadelphia,PA,219000,181800,179900,195300,287300,286500
19333,40.041872,-75.423597,Easttown Township,Chester,Philadelphia,PA,518500,150500,193600,452600,741000,1054100
19342,39.904122,-75.499422,Glen Mills,Delaware,Philadelphia,PA,428100,108600,235100,394700,512500,608000
19380,39.987186,-75.603156,West Chester,Chester,Philadelphia,PA,384000,212000,277800,319500,465200,563200
19382,39.927665,-75.613166,West Chester,Chester,Philadelphia,PA,403200,184100,196900,343000,493400,630800
19403,40.148673,-75.375506,West Norriton,Montgomery,Philadelphia,PA,266700,115400,172100,250200,339400,369300
19406,40.093268,-75.383637,King of Prussia,Montgomery,Philadelphia,PA,297800,118100,212600,276000,354400,404100
19422,40.15681,-75.279393,Whitpain Township,Montgomery,Philadelphia,PA,408500,151300,211600,372400,508500,551500
19428,40.080337,-75.300461,Conshohocken,Montgomery,Philadelphia,PA,284300,192300,247000,285900,330700,310400
19446,40.232327,-75.303915,Lansdale,Montgomery,Philadelphia,PA,298000,116700,206200,259500,403300,411500
19454,40.223335,-75.243047,North Wales,Montgomery,Philadelphia,PA,315400,108700,189100,282800,481900,502200
19460,40.126827,-75.530448,Phoenixville,Chester,Philadelphia,PA,288900,161200,231700,256600,427200,360300
19462,40.115345,-75.28199,Plymouth Township,Montgomery,Philadelphia,PA,335700,115100,186100,312200,381000,402700
19464,40.258928,-75.615861,Pottstown,Montgomery,Philadelphia,PA,152800,118200,126600,149400,230500,166400
19468,40.207638,-75.532067,Limerick,Montgomery,Philadelphia,PA,244600,134300,183000,227000,389300,315000
19605,40.39791,-75.943197,Muhlenberg Township,Berks,Reading,PA,161500,92200,128100,161400,223400,213100
19607,40.291483,-75.944791,Cumru Township,Berks,Reading,PA,150600,88400,121800,151700,221600,255000
19610,40.341402,-75.974839,Wyomissing,Berks,Reading,PA,227700,79300,139100,200400,260900,433800
19702,39.6182,-75.729724,Newark,New Castle,Philadelphia,DE,209000,100200,154400,198000,303200,314600
19711,39.713598,-75.741073,Newark,New Castle,Philadelphia,DE,265400,140300,180900,225300,351200,386900
19720,39.646922,-75.604852,New Castle,New Castle,Philadelphia,DE,178400,128700,142800,170200,231300,220500
19802,39.756608,-75.529079,Wilmington,New Castle,Philadelphia,DE,122500,102500,111800,118800,147900,218500
